2024-09-18 12:36:26 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:37:02 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:37:02 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:37:05 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:37:06 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:37:32 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:40:03 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:42:40 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:42:44 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:46:44 | GET /login_status/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:46:46 | GET /login_s | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:46:53 | GET /get_events/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:46:58 | GET /doc/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:47:26 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:47:29 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | User: admin
2024-09-18 12:47:38 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:56:05 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
2024-09-18 12:56:06 | GET /execute_command/ | IP: 127.0.0.1 | User-Agent: curl/8.5.0 | User: Anonymous
